home,score_home,away,score_away,date,place,year
Honduras ,1, Ecuador,2,20 June 201419:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,224Referee: Ben Williams (Australia)",2014
Honduras ,0, Switzerland,3,25 June 201416:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 40,322Referee: Néstor Pitana (Argentina)",2014
Ecuador ,0, France,0,25 June 201417:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,749Referee: Noumandiez Doué (Ivory Coast)",2014
Argentina ,2, Bosnia and Herzegovina,1,15 June 201419:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,738Referee: Joel Aguilar (El Salvador)[79]",2014
Iran ,0, Nigeria,0,16 June 201416:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,081Referee: Carlos Vera (Ecuador)",2014
Argentina ,1, Iran,0,21 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,698Referee: Milorad Mažić (Serbia)",2014
Nigeria ,1, Bosnia and Herzegovina,0,21 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,499Referee: Peter O'Leary (New Zealand)",2014
Nigeria ,2, Argentina,3,25 June 201413:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,285Referee: Nicola Rizzoli (Italy)",2014
Bosnia and Herzegovina ,3, Iran,1,25 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 48,011Referee: Carlos Velasco Carballo (Spain)",2014
Germany ,4, Portugal,0,16 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,081Referee: Milorad Mažić (Serbia)",2014
Ghana ,1, United States,2,16 June 201419:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,760Referee: Jonas Eriksson (Sweden)",2014
Germany ,2, Ghana,2,21 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 59,621Referee: Sandro Ricci (Brazil)",2014
United States ,2, Portugal,2,22 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 40,123Referee: Néstor Pitana (Argentina)",2014
United States ,0, Germany,1,26 June 201413:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,876Referee: Ravshan Irmatov (Uzbekistan)",2014
Portugal ,2, Ghana,1,26 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 67,540Referee: Nawaf Shukralla (Bahrain)",2014
Belgium ,2, Algeria,1,17 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 56,800Referee: Marco Rodríguez (Mexico)",2014
Russia ,1, South Korea,1,17 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 37,603Referee: Néstor Pitana (Argentina)",2014
Belgium ,1, Russia,0,22 June 201413:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,819Referee: Felix Brych (Germany)",2014
South Korea ,2, Algeria,4,22 June 201416:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 42,732Referee: Wilmar Roldán (Colombia)",2014
South Korea ,0, Belgium,1,26 June 201417:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 61,397Referee: Ben Williams (Australia)",2014
Algeria ,1, Russia,1,26 June 201417:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,311Referee: Cüneyt Çakır (Turkey)",2014
Brazil ,1, Chile,1,28 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,714Referee: Howard Webb (England)",2014
Colombia ,2, Uruguay,0,28 June 201417:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,804Referee: Björn Kuipers (Netherlands)",2014
Netherlands ,2, Mexico,1,29 June 201413:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 58,817Referee: Pedro Proença (Portugal)",2014
Costa Rica ,1, Greece,1,29 June 201417:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,242Referee: Ben Williams (Australia)",2014
France ,2, Nigeria,0,30 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 67,882Referee: Mark Geiger (United States)",2014
Germany ,2, Algeria,1,30 June 201417:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,063Referee: Sandro Ricci (Brazil)",2014
Argentina ,1, Switzerland,0,1 July 201413:00 BRT (UTC−3),"Arena Corinthians, São PauloAttendance: 63,255Referee: Jonas Eriksson (Sweden)",2014
Belgium ,2, United States,1,1 July 201417:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,227Referee: Djamel Haimoudi (Algeria)",2014
France ,0, Germany,1,4 July 201413:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,240Referee: Néstor Pitana (Argentina)",2014
Brazil ,2, Colombia,1,4 July 201417:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 60,342Referee: Carlos Velasco Carballo (Spain)",2014
Argentina ,1, Belgium,0,5 July 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,551Referee: Nicola Rizzoli (Italy)",2014
Netherlands ,0, Costa Rica,0,5 July 201417:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,179Referee: Ravshan Irmatov (Uzbekistan)",2014
Brazil ,1, Germany,7,8 July 201417:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 58,141Referee: Marco Rodríguez (Mexico)",2014
Netherlands ,0, Argentina,0,9 July 201417:00 BRT (UTC−3),"Arena Corinthians, São PauloAttendance: 63,267Referee: Cüneyt Çakır (Turkey)",2014
Brazil ,0, Netherlands,3,12 July 201417:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,034Referee: Djamel Haimoudi (Algeria)",2014
Germany ,1, Argentina,0,13 July 201416:00 BRT (UTC−3),"Maracanã Stadium, Rio de JaneiroAttendance: 74,738Referee: Nicola Rizzoli (Italy)",2014
