home,score_home,away,score_away,date,place,year
Netherlands ,2, Chile,0,23 June 201413:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,996Referee: Bakary Gassama (Gambia)",1930
Colombia ,3, Greece,0,14 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,174Referee: Mark Geiger (United States)[76]",1930
Ivory Coast ,2, Japan,1,14 June 201422:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 40,267Referee: Enrique Osses (Chile)[76]",1930
Colombia ,2, Ivory Coast,1,19 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,748Referee: Howard Webb (England)",1930
Japan ,0, Greece,0,19 June 201419:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,485Referee: Joel Aguilar (El Salvador)",1930
Japan ,1, Colombia,4,24 June 201416:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,340Referee: Pedro Proença (Portugal)",1930
Greece ,2, Ivory Coast,1,24 June 201417:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 59,095Referee: Carlos Vera (Ecuador)",1930
Uruguay ,1, Costa Rica,3,14 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 58,679Referee: Felix Brych (Germany)[77]",1930
England ,1, Italy,2,14 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 39,800Referee: Björn Kuipers (Netherlands)[77]",1930
Uruguay ,2, England,1,19 June 201416:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,575Referee: Carlos Velasco Carballo (Spain)",1930
Italy ,0, Costa Rica,1,20 June 201413:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 40,285Referee: Enrique Osses (Chile)",1930
Italy ,0, Uruguay,1,24 June 201413:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,706Referee: Marco Rodríguez (Mexico)",1930
Costa Rica ,0, England,0,24 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,823Referee: Djamel Haimoudi (Algeria)",1930
Switzerland ,2, Ecuador,1,15 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,351Referee: Ravshan Irmatov (Uzbekistan)[78]",1930
France ,3, Honduras,0,15 June 201416:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,012Referee: Sandro Ricci (Brazil)[78]",1930
Switzerland ,2, France,5,20 June 201416:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,003Referee: Björn Kuipers (Netherlands)",1930
Honduras ,1, Ecuador,2,20 June 201419:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,224Referee: Ben Williams (Australia)",1930
Honduras ,0, Switzerland,3,25 June 201416:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 40,322Referee: Néstor Pitana (Argentina)",1930
Ecuador ,0, France,0,25 June 201417:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,749Referee: Noumandiez Doué (Ivory Coast)",1930
Argentina ,2, Bosnia and Herzegovina,1,15 June 201419:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,738Referee: Joel Aguilar (El Salvador)[79]",1930
Iran ,0, Nigeria,0,16 June 201416:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,081Referee: Carlos Vera (Ecuador)",1930
Argentina ,1, Iran,0,21 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,698Referee: Milorad Mažić (Serbia)",1930
Nigeria ,1, Bosnia and Herzegovina,0,21 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,499Referee: Peter O'Leary (New Zealand)",1930
Nigeria ,2, Argentina,3,25 June 201413:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,285Referee: Nicola Rizzoli (Italy)",1930
Bosnia and Herzegovina ,3, Iran,1,25 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 48,011Referee: Carlos Velasco Carballo (Spain)",1930
Germany ,4, Portugal,0,16 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,081Referee: Milorad Mažić (Serbia)",1930
Ghana ,1, United States,2,16 June 201419:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,760Referee: Jonas Eriksson (Sweden)",1930
Germany ,2, Ghana,2,21 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 59,621Referee: Sandro Ricci (Brazil)",1930
United States ,2, Portugal,2,22 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 40,123Referee: Néstor Pitana (Argentina)",1930
United States ,0, Germany,1,26 June 201413:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,876Referee: Ravshan Irmatov (Uzbekistan)",1930
Portugal ,2, Ghana,1,26 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 67,540Referee: Nawaf Shukralla (Bahrain)",1930
Belgium ,2, Algeria,1,17 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 56,800Referee: Marco Rodríguez (Mexico)",1930
Russia ,1, South Korea,1,17 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 37,603Referee: Néstor Pitana (Argentina)",1930
Belgium ,1, Russia,0,22 June 201413:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,819Referee: Felix Brych (Germany)",1930
South Korea ,2, Algeria,4,22 June 201416:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 42,732Referee: Wilmar Roldán (Colombia)",1930
South Korea ,0, Belgium,1,26 June 201417:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 61,397Referee: Ben Williams (Australia)",1930
Algeria ,1, Russia,1,26 June 201417:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,311Referee: Cüneyt Çakır (Turkey)",1930
Brazil ,1, Chile,1,28 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,714Referee: Howard Webb (England)",1930
Colombia ,2, Uruguay,0,28 June 201417:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,804Referee: Björn Kuipers (Netherlands)",1930
Netherlands ,2, Mexico,1,29 June 201413:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 58,817Referee: Pedro Proença (Portugal)",1930
Costa Rica ,1, Greece,1,29 June 201417:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,242Referee: Ben Williams (Australia)",1930
France ,2, Nigeria,0,30 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 67,882Referee: Mark Geiger (United States)",1930
Germany ,2, Algeria,1,30 June 201417:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,063Referee: Sandro Ricci (Brazil)",1930
Argentina ,1, Switzerland,0,1 July 201413:00 BRT (UTC−3),"Arena Corinthians, São PauloAttendance: 63,255Referee: Jonas Eriksson (Sweden)",1930
Belgium ,2, United States,1,1 July 201417:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,227Referee: Djamel Haimoudi (Algeria)",1930
France ,0, Germany,1,4 July 201413:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,240Referee: Néstor Pitana (Argentina)",1930
Brazil ,2, Colombia,1,4 July 201417:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 60,342Referee: Carlos Velasco Carballo (Spain)",1930
Argentina ,1, Belgium,0,5 July 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,551Referee: Nicola Rizzoli (Italy)",1930
Netherlands ,0, Costa Rica,0,5 July 201417:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,179Referee: Ravshan Irmatov (Uzbekistan)",1930
Brazil ,1, Germany,7,8 July 201417:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 58,141Referee: Marco Rodríguez (Mexico)",1930
Netherlands ,0, Argentina,0,9 July 201417:00 BRT (UTC−3),"Arena Corinthians, São PauloAttendance: 63,267Referee: Cüneyt Çakır (Turkey)",1930
Brazil ,0, Netherlands,3,12 July 201417:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,034Referee: Djamel Haimoudi (Algeria)",1930
Germany ,1, Argentina,0,13 July 201416:00 BRT (UTC−3),"Maracanã Stadium, Rio de JaneiroAttendance: 74,738Referee: Nicola Rizzoli (Italy)",1930
Brazil ,3, Croatia,1,12 June 201417:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,103Referee: Yuichi Nishimura (Japan)",1934
Mexico ,1, Cameroon,0,13 June 201413:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,216Referee: Wilmar Roldán (Colombia)",1934
Brazil ,0, Mexico,0,17 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 60,342Referee: Cüneyt Çakır (Turkey)",1934
Cameroon ,0, Croatia,4,18 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 39,982Referee: Pedro Proença (Portugal)",1934
Cameroon ,1, Brazil,4,23 June 201417:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 69,112Referee: Jonas Eriksson (Sweden)",1934
Croatia ,1, Mexico,3,23 June 201417:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,212Referee: Ravshan Irmatov (Uzbekistan)",1934
Spain ,1, Netherlands,5,13 June 201416:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 48,173Referee: Nicola Rizzoli (Italy)[75]",1934
Chile ,3, Australia,1,13 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,275Referee: Noumandiez Doué (Ivory Coast)[75]",1934
Australia ,2, Netherlands,3,18 June 201413:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 42,877Referee: Djamel Haimoudi (Algeria)",1934
Spain ,0, Chile,2,18 June 201416:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,101Referee: Mark Geiger (United States)",1934
Australia ,0, Spain,3,23 June 201413:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,375Referee: Nawaf Shukralla (Bahrain)",1934
Netherlands ,2, Chile,0,23 June 201413:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,996Referee: Bakary Gassama (Gambia)",1934
Colombia ,3, Greece,0,14 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,174Referee: Mark Geiger (United States)[76]",1934
Ivory Coast ,2, Japan,1,14 June 201422:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 40,267Referee: Enrique Osses (Chile)[76]",1934
Colombia ,2, Ivory Coast,1,19 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,748Referee: Howard Webb (England)",1934
Japan ,0, Greece,0,19 June 201419:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,485Referee: Joel Aguilar (El Salvador)",1934
Japan ,1, Colombia,4,24 June 201416:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,340Referee: Pedro Proença (Portugal)",1934
Greece ,2, Ivory Coast,1,24 June 201417:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 59,095Referee: Carlos Vera (Ecuador)",1934
Uruguay ,1, Costa Rica,3,14 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 58,679Referee: Felix Brych (Germany)[77]",1934
England ,1, Italy,2,14 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 39,800Referee: Björn Kuipers (Netherlands)[77]",1934
Uruguay ,2, England,1,19 June 201416:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,575Referee: Carlos Velasco Carballo (Spain)",1934
Italy ,0, Costa Rica,1,20 June 201413:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 40,285Referee: Enrique Osses (Chile)",1934
Italy ,0, Uruguay,1,24 June 201413:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,706Referee: Marco Rodríguez (Mexico)",1934
Costa Rica ,0, England,0,24 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,823Referee: Djamel Haimoudi (Algeria)",1934
Switzerland ,2, Ecuador,1,15 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,351Referee: Ravshan Irmatov (Uzbekistan)[78]",1934
France ,3, Honduras,0,15 June 201416:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,012Referee: Sandro Ricci (Brazil)[78]",1934
Switzerland ,2, France,5,20 June 201416:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,003Referee: Björn Kuipers (Netherlands)",1934
Honduras ,1, Ecuador,2,20 June 201419:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,224Referee: Ben Williams (Australia)",1934
Honduras ,0, Switzerland,3,25 June 201416:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 40,322Referee: Néstor Pitana (Argentina)",1934
Ecuador ,0, France,0,25 June 201417:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,749Referee: Noumandiez Doué (Ivory Coast)",1934
Argentina ,2, Bosnia and Herzegovina,1,15 June 201419:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,738Referee: Joel Aguilar (El Salvador)[79]",1934
Iran ,0, Nigeria,0,16 June 201416:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,081Referee: Carlos Vera (Ecuador)",1934
Argentina ,1, Iran,0,21 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,698Referee: Milorad Mažić (Serbia)",1934
Nigeria ,1, Bosnia and Herzegovina,0,21 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,499Referee: Peter O'Leary (New Zealand)",1934
Nigeria ,2, Argentina,3,25 June 201413:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,285Referee: Nicola Rizzoli (Italy)",1934
Bosnia and Herzegovina ,3, Iran,1,25 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 48,011Referee: Carlos Velasco Carballo (Spain)",1934
Germany ,4, Portugal,0,16 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,081Referee: Milorad Mažić (Serbia)",1934
Ghana ,1, United States,2,16 June 201419:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,760Referee: Jonas Eriksson (Sweden)",1934
Germany ,2, Ghana,2,21 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 59,621Referee: Sandro Ricci (Brazil)",1934
United States ,2, Portugal,2,22 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 40,123Referee: Néstor Pitana (Argentina)",1934
United States ,0, Germany,1,26 June 201413:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,876Referee: Ravshan Irmatov (Uzbekistan)",1934
Portugal ,2, Ghana,1,26 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 67,540Referee: Nawaf Shukralla (Bahrain)",1934
Belgium ,2, Algeria,1,17 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 56,800Referee: Marco Rodríguez (Mexico)",1934
Russia ,1, South Korea,1,17 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 37,603Referee: Néstor Pitana (Argentina)",1934
Belgium ,1, Russia,0,22 June 201413:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,819Referee: Felix Brych (Germany)",1934
South Korea ,2, Algeria,4,22 June 201416:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 42,732Referee: Wilmar Roldán (Colombia)",1934
South Korea ,0, Belgium,1,26 June 201417:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 61,397Referee: Ben Williams (Australia)",1934
Algeria ,1, Russia,1,26 June 201417:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,311Referee: Cüneyt Çakır (Turkey)",1934
Brazil ,1, Chile,1,28 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,714Referee: Howard Webb (England)",1934
Colombia ,2, Uruguay,0,28 June 201417:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,804Referee: Björn Kuipers (Netherlands)",1934
Netherlands ,2, Mexico,1,29 June 201413:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 58,817Referee: Pedro Proença (Portugal)",1934
Costa Rica ,1, Greece,1,29 June 201417:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,242Referee: Ben Williams (Australia)",1934
France ,2, Nigeria,0,30 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 67,882Referee: Mark Geiger (United States)",1934
Germany ,2, Algeria,1,30 June 201417:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,063Referee: Sandro Ricci (Brazil)",1934
Argentina ,1, Switzerland,0,1 July 201413:00 BRT (UTC−3),"Arena Corinthians, São PauloAttendance: 63,255Referee: Jonas Eriksson (Sweden)",1934
Belgium ,2, United States,1,1 July 201417:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,227Referee: Djamel Haimoudi (Algeria)",1934
France ,0, Germany,1,4 July 201413:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,240Referee: Néstor Pitana (Argentina)",1934
Brazil ,2, Colombia,1,4 July 201417:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 60,342Referee: Carlos Velasco Carballo (Spain)",1934
Argentina ,1, Belgium,0,5 July 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,551Referee: Nicola Rizzoli (Italy)",1934
Netherlands ,0, Costa Rica,0,5 July 201417:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,179Referee: Ravshan Irmatov (Uzbekistan)",1934
Brazil ,1, Germany,7,8 July 201417:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 58,141Referee: Marco Rodríguez (Mexico)",1934
Netherlands ,0, Argentina,0,9 July 201417:00 BRT (UTC−3),"Arena Corinthians, São PauloAttendance: 63,267Referee: Cüneyt Çakır (Turkey)",1934
Brazil ,0, Netherlands,3,12 July 201417:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,034Referee: Djamel Haimoudi (Algeria)",1934
Germany ,1, Argentina,0,13 July 201416:00 BRT (UTC−3),"Maracanã Stadium, Rio de JaneiroAttendance: 74,738Referee: Nicola Rizzoli (Italy)",1934
Brazil ,3, Croatia,1,12 June 201417:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,103Referee: Yuichi Nishimura (Japan)",1938
Mexico ,1, Cameroon,0,13 June 201413:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,216Referee: Wilmar Roldán (Colombia)",1938
Brazil ,0, Mexico,0,17 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 60,342Referee: Cüneyt Çakır (Turkey)",1938
Cameroon ,0, Croatia,4,18 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 39,982Referee: Pedro Proença (Portugal)",1938
Cameroon ,1, Brazil,4,23 June 201417:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 69,112Referee: Jonas Eriksson (Sweden)",1938
Croatia ,1, Mexico,3,23 June 201417:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,212Referee: Ravshan Irmatov (Uzbekistan)",1938
Spain ,1, Netherlands,5,13 June 201416:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 48,173Referee: Nicola Rizzoli (Italy)[75]",1938
Chile ,3, Australia,1,13 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,275Referee: Noumandiez Doué (Ivory Coast)[75]",1938
Australia ,2, Netherlands,3,18 June 201413:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 42,877Referee: Djamel Haimoudi (Algeria)",1938
Spain ,0, Chile,2,18 June 201416:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,101Referee: Mark Geiger (United States)",1938
Australia ,0, Spain,3,23 June 201413:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,375Referee: Nawaf Shukralla (Bahrain)",1938
Netherlands ,2, Chile,0,23 June 201413:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,996Referee: Bakary Gassama (Gambia)",1938
Colombia ,3, Greece,0,14 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,174Referee: Mark Geiger (United States)[76]",1938
Ivory Coast ,2, Japan,1,14 June 201422:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 40,267Referee: Enrique Osses (Chile)[76]",1938
Colombia ,2, Ivory Coast,1,19 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,748Referee: Howard Webb (England)",1938
Japan ,0, Greece,0,19 June 201419:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,485Referee: Joel Aguilar (El Salvador)",1938
Japan ,1, Colombia,4,24 June 201416:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,340Referee: Pedro Proença (Portugal)",1938
Greece ,2, Ivory Coast,1,24 June 201417:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 59,095Referee: Carlos Vera (Ecuador)",1938
Uruguay ,1, Costa Rica,3,14 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 58,679Referee: Felix Brych (Germany)[77]",1938
England ,1, Italy,2,14 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 39,800Referee: Björn Kuipers (Netherlands)[77]",1938
Uruguay ,2, England,1,19 June 201416:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,575Referee: Carlos Velasco Carballo (Spain)",1938
Italy ,0, Costa Rica,1,20 June 201413:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 40,285Referee: Enrique Osses (Chile)",1938
Italy ,0, Uruguay,1,24 June 201413:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,706Referee: Marco Rodríguez (Mexico)",1938
Costa Rica ,0, England,0,24 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,823Referee: Djamel Haimoudi (Algeria)",1938
Switzerland ,2, Ecuador,1,15 June 201413:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 68,351Referee: Ravshan Irmatov (Uzbekistan)[78]",1938
France ,3, Honduras,0,15 June 201416:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,012Referee: Sandro Ricci (Brazil)[78]",1938
Switzerland ,2, France,5,20 June 201416:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,003Referee: Björn Kuipers (Netherlands)",1938
Honduras ,1, Ecuador,2,20 June 201419:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,224Referee: Ben Williams (Australia)",1938
Honduras ,0, Switzerland,3,25 June 201416:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 40,322Referee: Néstor Pitana (Argentina)",1938
Ecuador ,0, France,0,25 June 201417:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 73,749Referee: Noumandiez Doué (Ivory Coast)",1938
Argentina ,2, Bosnia and Herzegovina,1,15 June 201419:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,738Referee: Joel Aguilar (El Salvador)[79]",1938
Iran ,0, Nigeria,0,16 June 201416:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,081Referee: Carlos Vera (Ecuador)",1938
Argentina ,1, Iran,0,21 June 201413:00 BRT (UTC−3),"Estádio Mineirão, Belo HorizonteAttendance: 57,698Referee: Milorad Mažić (Serbia)",1938
Nigeria ,1, Bosnia and Herzegovina,0,21 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,499Referee: Peter O'Leary (New Zealand)",1938
Nigeria ,2, Argentina,3,25 June 201413:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 43,285Referee: Nicola Rizzoli (Italy)",1938
Bosnia and Herzegovina ,3, Iran,1,25 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 48,011Referee: Carlos Velasco Carballo (Spain)",1938
Germany ,4, Portugal,0,16 June 201413:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 51,081Referee: Milorad Mažić (Serbia)",1938
